TeamH	TeamA	GoalsH	GoalsA	Year	Matchday
Eintracht Frankfurt	Bayern München	1	1	2022	1
1. FC Union Berlin	Hertha BSC	3	3	2022	1
Bor. Mönchengladbach	1899 Hoffenheim	3	3	2022	1
VfL Wolfsburg	Werder Bremen	2	2	2022	1
VfL Bochum	1. FSV Mainz 05	1	1	2022	1
FC Augsburg	SC Freiburg	0	0	2022	1
Borussia Dortmund	Bayer Leverkusen	1	1	2022	1
VfB Stuttgart	RB Leipzig	1	1	2022	1
1. FC Köln	FC Schalke 04	3	3	2022	1
SC Freiburg	Borussia Dortmund	1	1	2022	2
Bayer Leverkusen	FC Augsburg	1	1	2022	2
RB Leipzig	1. FC Köln	2	2	2022	2
1899 Hoffenheim	VfL Bochum	3	3	2022	2
Hertha BSC	Eintracht Frankfurt	1	1	2022	2
Werder Bremen	VfB Stuttgart	2	2	2022	2
FC Schalke 04	Bor. Mönchengladbach	2	2	2022	2
1. FSV Mainz 05	1. FC Union Berlin	0	0	2022	2
Bayern München	VfL Wolfsburg	2	2	2022	2
Bor. Mönchengladbach	Hertha BSC	1	1	2022	3
Borussia Dortmund	Werder Bremen	2	2	2022	3
Bayer Leverkusen	1899 Hoffenheim	0	0	2022	3
VfL Wolfsburg	FC Schalke 04	0	0	2022	3
FC Augsburg	1. FSV Mainz 05	1	1	2022	3
VfB Stuttgart	SC Freiburg	0	0	2022	3
1. FC Union Berlin	RB Leipzig	2	2	2022	3
Eintracht Frankfurt	1. FC Köln	1	1	2022	3
VfL Bochum	Bayern München	0	0	2022	3
SC Freiburg	VfL Bochum	1	1	2022	4
RB Leipzig	VfL Wolfsburg	2	2	2022	4
1. FSV Mainz 05	Bayer Leverkusen	0	0	2022	4
1899 Hoffenheim	FC Augsburg	1	1	2022	4
Hertha BSC	Borussia Dortmund	0	0	2022	4
FC Schalke 04	1. FC Union Berlin	1	1	2022	4
Bayern München	Bor. Mönchengladbach	1	1	2022	4
1. FC Köln	VfB Stuttgart	0	0	2022	4
Werder Bremen	Eintracht Frankfurt	3	3	2022	4
Borussia Dortmund	1899 Hoffenheim	1	1	2022	5
Bayer Leverkusen	SC Freiburg	2	2	2022	5
1. FC Union Berlin	Bayern München	1	1	2022	5
VfL Wolfsburg	1. FC Köln	2	2	2022	5
VfL Bochum	Werder Bremen	0	0	2022	5
VfB Stuttgart	FC Schalke 04	1	1	2022	5
Eintracht Frankfurt	RB Leipzig	4	4	2022	5
FC Augsburg	Hertha BSC	0	0	2022	5
Bor. Mönchengladbach	1. FSV Mainz 05	0	0	2022	5